x,y
1.0000000000,0.0000000000
0.9995431551,0.0000053158
0.9981735941,0.0000425067
0.9958942362,0.0001433509
0.9927099379,0.0003394326
0.9886274801,0.0006620458
0.9836555506,0.0011420989
0.9778047204,0.0018100202
0.9710874160,0.0026956650
0.9635178865,0.0038282238
0.9551121657,0.0052361333
0.9458880296,0.0069469878
0.9358649491,0.0089874550
0.9250640390,0.0113831930
0.9135080011,0.0141587701
0.9012210650,0.0173375885
0.8882289235,0.0209418105
0.8745586647,0.0249922882
0.8602387003,0.0295084972
0.8452986905,0.0345084739
0.8297694656,0.0400087565
0.8136829448,0.0460243311
0.7970720517,0.0525685807
0.7799706275,0.0596532397
0.7624133418,0.0672883532
0.7444356016,0.0754822397
0.7260734574,0.0842414599
0.7073635094,0.0935707897
0.6883428105,0.1034731982
0.6690487694,0.1139498315
0.6495190528,0.1250000000
0.6297914865,0.1366211725
0.6099039563,0.1488089743
0.5898943097,0.1615571911
0.5698002567,0.1748577774
0.5496592719,0.1887008707
0.5295084972,0.2030748101
0.5093846451,0.2179661607
0.4893239044,0.2333597421
0.4693618462,0.2492386622
0.4495333323,0.2655843563
0.4298724264,0.2823766298
0.4104123060,0.2995937062
0.3911851785,0.3172122797
0.3722221987,0.3352075715
0.3535533906,0.3535533906
0.3352075715,0.3722221987
0.3172122797,0.3911851785
0.2995937062,0.4104123060
0.2823766298,0.4298724264
0.2655843563,0.4495333323
0.2492386622,0.4693618462
0.2333597421,0.4893239044
0.2179661607,0.5093846451
0.2030748101,0.5295084972
0.1887008707,0.5496592719
0.1748577774,0.5698002567
0.1615571911,0.5898943097
0.1488089743,0.6099039563
0.1366211725,0.6297914865
0.1250000000,0.6495190528
0.1139498315,0.6690487694
0.1034731982,0.6883428105
0.0935707897,0.7073635094
0.0842414599,0.7260734574
0.0754822397,0.7444356016
0.0672883532,0.7624133418
0.0596532397,0.7799706275
0.0525685807,0.7970720517
0.0460243311,0.8136829448
0.0400087565,0.8297694656
0.0345084739,0.8452986905
0.0295084972,0.8602387003
0.0249922882,0.8745586647
0.0209418105,0.8882289235
0.0173375885,0.9012210650
0.0141587701,0.9135080011
0.0113831930,0.9250640390
0.0089874550,0.9358649491
0.0069469878,0.9458880296
0.0052361333,0.9551121657
0.0038282238,0.9635178865
0.0026956650,0.9710874160
0.0018100202,0.9778047204
0.0011420989,0.9836555506
0.0006620458,0.9886274801
0.0003394326,0.9927099379
0.0001433509,0.9958942362
0.0000425067,0.9981735941
0.0000053158,0.9995431551
0.0000000000,1.0000000000
-0.0000053158,0.9995431551
-0.0000425067,0.9981735941
-0.0001433509,0.9958942362
-0.0003394326,0.9927099379
-0.0006620458,0.9886274801
-0.0011420989,0.9836555506
-0.0018100202,0.9778047204
-0.0026956650,0.9710874160
-0.0038282238,0.9635178865
-0.0052361333,0.9551121657
-0.0069469878,0.9458880296
-0.0089874550,0.9358649491
-0.0113831930,0.9250640390
