x,y
2.0000000000,0.0000000000
1.9995431087,0.0349021548
1.9981728521,0.0697777336
1.9958904824,0.1046001879
1.9926980846,0.1393430242
1.9885985746,0.1739798316
1.9835956957,0.2084843087
1.9776940148,0.2428302912
1.9708989167,0.2769917789
1.9632165987,0.3109429622
1.9546540634,0.3446582493
1.9452191107,0.3781122921
1.9349203296,0.4112800124
1.9237670879,0.4441366277
1.9117695227,0.4766576770
1.8989385282,0.5088190451
1.8852857440,0.5405969879
1.8708235422,0.5719681565
1.8555650135,0.6029096205
1.8395239524,0.6333988921
1.8227148423,0.6634139482
1.8051528392,0.6929332527
1.7868537547,0.7219357786
1.7678340387,0.7504010287
1.7481107608,0.7783090558
1.7277015919,0.8056404833
1.7066247840,0.8323765236
1.6848991503,0.8584989969
1.6625440446,0.8839903491
1.6395793393,0.9088336683
1.6160254038,0.9330127019
1.5919030821,0.9565118713
1.5672336696,0.9793162874
1.5420388895,1.0014117638
1.5163408693,1.0227848308
1.4901621160,1.0434227467
1.4635254916,1.0633135104
1.4364541880,1.0824458711
1.4089717014,1.1008093385
1.3811018069,1.1183941914
1.3528685320,1.1351914862
1.3242961307,1.1511930634
1.2954090571,1.1663915540
1.2662319385,1.1807803852
1.2367895487,1.1943537840
1.2071067812,1.2071067812
1.1772086221,1.2190352138
1.1471201232,1.2301357267
1.1168663747,1.2404057732
1.0864724785,1.2498436146
1.0559635209,1.2584483196
1.0253645456,1.2662197618
0.9947005275,1.2731586167
0.9639963452,1.2792663580
0.9332767551,1.2845452525
0.9025663647,1.2889983547
0.8718896068,1.2926294998
0.8412707135,1.2954432968
0.8107336908,1.2974451193
0.7803022935,1.2986410971
0.7500000000,1.2990381057
0.7198499881,1.2986437552
0.6898751111,1.2974663791
0.6600978736,1.2955150214
0.6305404091,1.2927994231
0.6012244569,1.2893300086
0.5721713399,1.2851178704
0.5434019433,1.2801747536
0.5149366932,1.2745130398
0.4867955368,1.2681457297
0.4589979218,1.2610864256
0.4315627777,1.2533493133
0.4045084972,1.2449491424
0.3778529184,1.2359012077
0.3516133077,1.2262213281
0.3258063432,1.2159258263
0.3004480992,1.2050315077
0.2755540312,1.1935556382
0.2511389620,1.1815159223
0.2272170681,1.1689304802
0.2038018673,1.1558178247
0.1809062069,1.1421968378
0.1585422530,1.1280867467
0.1367214803,1.1135070994
0.1154546629,1.0984777408
0.0947518662,1.0830187869
0.0746224394,1.0671506007
0.0550750086,1.0508937664
0.0361174716,1.0342690639
0.0177569929,1.0172974435
0.0000000000,1.0000000000
-0.0171478199,0.9823979468
-0.0336815218,0.9645125901
-0.0495969039,0.9463653031
-0.0648905081,0.9279774998
-0.0795596193,0.9093706093
-0.0936022636,0.8905660500
-0.1070172065,0.8715852038
-0.1198039489,0.8524493908
-0.1319627232,0.8331798434
-0.1434944881,0.8137976813
-0.1544009227,0.7943238867
-0.1646844196,0.7747792792
-0.1743480775,0.7551844914
-0.1833956920,0.7355599449
-0.1918317470,0.7159258263
-0.1996614039,0.6963020638
-0.2068904910,0.6767083042
-0.2135254916,0.6571638901
-0.2195735313,0.6376878379
-0.2250423649,0.6182988159
-0.2299403623,0.5990151233
-0.2342764936,0.5798546693
-0.2380603137,0.5608349533
-0.2413019463,0.5419730449
-0.2440120666,0.5232855655
-0.2462018845,0.5047886695
-0.2478831259,0.4864980270
-0.2490680145,0.4684288066
-0.2497692524,0.4505956591
-0.2500000000,0.4330127019
-0.2497738563,0.4156935043
-0.2491048376,0.3986510730
-0.2480073566,0.3818978391
-0.2464962002,0.3654456453
-0.2445865080,0.3493057339
-0.2422937495,0.3334887362
-0.2396337011,0.3180046621
-0.2366224231,0.3028628905
-0.2332762365,0.2880721611
-0.2296116985,0.2736405666
-0.2256455795,0.2595755459
-0.2213948380,0.2458838778
-0.2168765969,0.2325716765
-0.2121081188,0.2196443868
-0.2071067812,0.2071067812
