x,y
-10.0000000000,-1000.0000000000
-9.9000000000,-970.2990000000
-9.8000000000,-941.1920000000
-9.7000000000,-912.6730000000
-9.6000000000,-884.7360000000
-9.5000000000,-857.3750000000
-9.4000000000,-830.5840000000
-9.3000000000,-804.3570000000
-9.2000000000,-778.6880000000
-9.1000000000,-753.5710000000
-9.0000000000,-729.0000000000
-8.9000000000,-704.9690000000
-8.8000000000,-681.4720000000
-8.7000000000,-658.5030000000
-8.6000000000,-636.0560000000
-8.5000000000,-614.1250000000
-8.4000000000,-592.7040000000
-8.3000000000,-571.7870000000
-8.2000000000,-551.3680000000
-8.1000000000,-531.4410000000
-8.0000000000,-512.0000000000
-7.9000000000,-493.0390000000
-7.8000000000,-474.5520000000
-7.7000000000,-456.5330000000
-7.6000000000,-438.9760000000
-7.5000000000,-421.8750000000
-7.4000000000,-405.2240000000
-7.3000000000,-389.0170000000
-7.2000000000,-373.2480000000
-7.1000000000,-357.9110000000
-7.0000000000,-343.0000000000
-6.9000000000,-328.5090000000
-6.8000000000,-314.4320000000
-6.7000000000,-300.7630000000
-6.6000000000,-287.4960000000
-6.5000000000,-274.6250000000
-6.4000000000,-262.1440000000
-6.3000000000,-250.0470000000
-6.2000000000,-238.3280000000
-6.1000000000,-226.9810000000
-6.0000000000,-216.0000000000
-5.9000000000,-205.3790000000
-5.8000000000,-195.1120000000
-5.7000000000,-185.1930000000
-5.6000000000,-175.6160000000
-5.5000000000,-166.3750000000
-5.4000000000,-157.4640000000
-5.3000000000,-148.8770000000
-5.2000000000,-140.6080000000
-5.1000000000,-132.6510000000
-5.0000000000,-125.0000000000
-4.9000000000,-117.6490000000
-4.8000000000,-110.5920000000
-4.7000000000,-103.8230000000
-4.6000000000,-97.3360000000
-4.5000000000,-91.1250000000
-4.4000000000,-85.1840000000
-4.3000000000,-79.5070000000
-4.2000000000,-74.0880000000
-4.1000000000,-68.9210000000
-4.0000000000,-64.0000000000
-3.9000000000,-59.3190000000
-3.8000000000,-54.8720000000
-3.7000000000,-50.6530000000
-3.6000000000,-46.6560000000
-3.5000000000,-42.8750000000
-3.4000000000,-39.3040000000
-3.3000000000,-35.9370000000
-3.2000000000,-32.7680000000
-3.1000000000,-29.7910000000
-3.0000000000,-27.0000000000
-2.9000000000,-24.3890000000
-2.8000000000,-21.9520000000
-2.7000000000,-19.6830000000
-2.6000000000,-17.5760000000
-2.5000000000,-15.6250000000
-2.4000000000,-13.8240000000
-2.3000000000,-12.1670000000
-2.2000000000,-10.6480000000
-2.1000000000,-9.2610000000
-2.0000000000,-8.0000000000
-1.9000000000,-6.8590000000
-1.8000000000,-5.8320000000
-1.7000000000,-4.9130000000
