x,y
0.0000000000,0.0000000000
0.1000000000,0.4641588834
0.2000000000,0.5848035476
0.3000000000,0.6694329501
0.4000000000,0.7368062997
0.5000000000,0.7937005260
0.6000000000,0.8434326653
0.7000000000,0.8879040017
0.8000000000,0.9283177667
0.9000000000,0.9654893846
1.0000000000,1.0000000000
1.1000000000,1.0322801155
1.2000000000,1.0626585692
1.3000000000,1.0913928831
1.4000000000,1.1186889421
1.5000000000,1.1447142426
1.6000000000,1.1696070953
1.7000000000,1.1934831919
1.8000000000,1.2164403991
1.9000000000,1.2385623296
2.0000000000,1.2599210499
2.1000000000,1.2805791650
2.2000000000,1.3005914469
2.3000000000,1.3200061218
2.4000000000,1.3388659002
2.5000000000,1.3572088083
2.6000000000,1.3750688671
2.7000000000,1.3924766501
2.8000000000,1.4094597464
2.9000000000,1.4260431471
3.0000000000,1.4422495703
3.1000000000,1.4580997358
3.2000000000,1.4736125995
3.3000000000,1.4888055530
3.4000000000,1.5036945962
3.5000000000,1.5182944859
3.6000000000,1.5326188648
3.7000000000,1.5466803738
3.8000000000,1.5604907507
3.9000000000,1.5740609166
4.0000000000,1.5874010520
4.1000000000,1.6005206639
4.2000000000,1.6134286460
4.3000000000,1.6261333317
4.4000000000,1.6386425412
4.5000000000,1.6509636244
4.6000000000,1.6631034988
4.7000000000,1.6750686836
4.8000000000,1.6868653306
4.9000000000,1.6984992522
5.0000000000,1.7099759467
5.1000000000,1.7213006207
5.2000000000,1.7324782107
5.3000000000,1.7435134013
5.4000000000,1.7544106429
5.5000000000,1.7651741677
5.6000000000,1.7758080035
5.7000000000,1.7863159877
5.8000000000,1.7967017791
5.9000000000,1.8069688693
6.0000000000,1.8171205928
6.1000000000,1.8271601369
6.2000000000,1.8370905500
6.3000000000,1.8469147504
6.4000000000,1.8566355334
6.5000000000,1.8662555784
6.6000000000,1.8757774554
6.7000000000,1.8852036310
6.8000000000,1.8945364744
6.9000000000,1.9037782620
7.0000000000,1.9129311828
7.1000000000,1.9219973428
7.2000000000,1.9309787692
7.3000000000,1.9398774146
7.4000000000,1.9486951604
7.5000000000,1.9574338206
7.6000000000,1.9660951450
7.7000000000,1.9746808222
7.8000000000,1.9831924827
7.9000000000,1.9916317013
8.0000000000,2.0000000000
8.1000000000,2.0082988502
8.2000000000,2.0165296752
8.3000000000,2.0246938520
8.4000000000,2.0327927136
8.5000000000,2.0408275510
8.6000000000,2.0487996145
8.7000000000,2.0567101162
8.8000000000,2.0645602309
8.9000000000,2.0723510981
9.0000000000,2.0800838231
9.1000000000,2.0877594787
9.2000000000,2.0953791063
9.3000000000,2.1029437175
9.4000000000,2.1104542945
9.5000000000,2.1179117921
9.6000000000,2.1253171384
9.7000000000,2.1326712355
9.8000000000,2.1399749611
9.9000000000,2.1472291690
10.0000000000,2.1544346900
