x,y
0.0000000000,0.0000000000
0.0000008861,0.0001523048
0.0000070883,0.0006091730
0.0000239213,0.0013704652
0.0000566963,0.0024359497
0.0001107199,0.0038053019
0.0001912919,0.0054781046
0.0003037042,0.0074538484
0.0004532392,0.0097319313
0.0006451676,0.0123116594
0.0008847475,0.0151922470
0.0011772223,0.0183728166
0.0015278194,0.0218523993
0.0019417484,0.0256299352
0.0024241997,0.0297042737
0.0029803427,0.0340741737
0.0036153245,0.0387383041
0.0043342681,0.0436952440
0.0051422710,0.0489434837
0.0060444034,0.0544814244
0.0070457071,0.0603073792
0.0081511934,0.0664195735
0.0093658420,0.0728161454
0.0106945995,0.0794951465
0.0121423774,0.0864545424
0.0137140513,0.0936922130
0.0154144587,0.1012059537
0.0172483983,0.1089934758
0.0192206278,0.1170524071
0.0213358628,0.1253802929
0.0235987756,0.1339745962
0.0260139932,0.1428326993
0.0285860964,0.1519519038
0.0313196181,0.1613294321
0.0342190422,0.1709624274
0.0372888018,0.1808479557
0.0405332784,0.1909830056
0.0439568001,0.2013644900
0.0475636404,0.2119892464
0.0513580172,0.2228540385
0.0553440911,0.2339555569
0.0595259643,0.2452904198
0.0639076795,0.2568551745
0.0684932183,0.2686462984
0.0732865004,0.2806601997
0.0782913822,0.2928932188
0.0835116556,0.3053416295
0.0889510468,0.3180016399
0.0946132155,0.3308693936
0.1005017533,0.3439409710
0.1066201829,0.3572123903
0.1129719571,0.3706796090
0.1195604574,0.3843385247
0.1263889935,0.3981849768
0.1334608017,0.4122147477
0.1407790443,0.4264235636
0.1483468086,0.4408070965
0.1561671057,0.4553609650
0.1642428700,0.4700807358
0.1725769580,0.4849619251
0.1811721474,0.5000000000
0.1900311366,0.5151903798
0.1991565434,0.5305284372
0.2085509046,0.5460095003
0.2182166750,0.5616288532
0.2281562268,0.5773817383
0.2383718487,0.5932633569
0.2488657454,0.6092688715
0.2596400368,0.6253934066
0.2706967574,0.6416320505
0.2820378556,0.6579798567
0.2936651933,0.6744318455
0.3055805451,0.6909830056
0.3177855980,0.7076282953
0.3302819505,0.7243626442
0.3430711127,0.7411809549
0.3561545052,0.7580781044
0.3695334593,0.7750489457
0.3832092158,0.7920883092
0.3971829256,0.8091910046
0.4114556486,0.8263518223
0.4260283535,0.8435655350
0.4409019179,0.8608268990
0.4560771275,0.8781306566
0.4715546763,0.8954715367
0.4873351661,0.9128442573
0.5034191065,0.9302435263
0.5198069145,0.9476640438
0.5364989147,0.9651005033
0.5534953391,0.9825475936
0.5707963268,1.0000000000
0.5884019242,1.0174524064
0.6063120848,1.0348994967
0.6245266696,1.0523359562
0.6430454466,1.0697564737
0.6618680913,1.0871557427
0.6809941865,1.1045284633
0.7004232228,1.1218693434
0.7201545982,1.1391731010
0.7401876189,1.1564344650
0.7605214990,1.1736481777
0.7811553611,1.1908089954
0.8020882363,1.2079116908
0.8233190648,1.2249510543
0.8448466958,1.2419218956
0.8666698883,1.2588190451
0.8887873112,1.2756373558
0.9111975437,1.2923717047
0.9338990759,1.3090169944
0.9568903091,1.3255681545
0.9801695564,1.3420201433
1.0037350432,1.3583679495
1.0275849077,1.3746065934
1.0517172013,1.3907311285
1.0761298896,1.4067366431
1.1008208528,1.4226182617
1.1257878860,1.4383711468
1.1510287006,1.4539904997
1.1765409245,1.4694715628
1.2023221027,1.4848096202
1.2283696986,1.5000000000
1.2546810942,1.5150380749
1.2812535913,1.5299192642
1.3080844120,1.5446390350
1.3351706999,1.5591929035
1.3625095207,1.5735764364
1.3900978631,1.5877852523
1.4179326400,1.6018150232
1.4460106889,1.6156614753
1.4743287736,1.6293203910
1.5028835845,1.6427876097
1.5316717399,1.6560590290
1.5606897872,1.6691306064
1.5899342035,1.6819983601
1.6194013973,1.6946583705
1.6490877090,1.7071067812
1.6789894123,1.7193398003
1.7091027152,1.7313537016
1.7394237614,1.7431448255
1.7699486313,1.7547095802
1.8006733431,1.7660444431
1.8315938543,1.7771459615
1.8627060625,1.7880107536
1.8940058072,1.7986355100
1.9254888706,1.8090169944
1.9571509790,1.8191520443
1.9889878044,1.8290375726
2.0209949654,1.8386705679
2.0531680287,1.8480480962
2.0855025106,1.8571673007
2.1179938780,1.8660254038
2.1506375503,1.8746197071
2.1834289002,1.8829475929
2.2163632558,1.8910065242
2.2494359013,1.8987940463
2.2826420789,1.9063077870
2.3159769900,1.9135454576
2.3494357971,1.9205048535
2.3830136247,1.9271838546
2.4167055611,1.9335804265
2.4505066599,1.9396926208
2.4844119413,1.9455185756
2.5184163939,1.9510565163
2.5525149760,1.9563047560
2.5867026175,1.9612616959
2.6209742207,1.9659258263
2.6553246627,1.9702957263
2.6897487965,1.9743700648
2.7242414525,1.9781476007
2.7587974405,1.9816271834
2.7934115507,1.9848077530
2.8280785559,1.9876883406
2.8627932125,1.9902680687
2.8975502625,1.9925461516
2.9323444352,1.9945218954
2.9671704482,1.9961946981
3.0020230098,1.9975640503
3.0368968198,1.9986295348
3.0717865718,1.9993908270
3.1066869546,1.9998476952
3.1415926536,2.0000000000
3.1764983525,1.9998476952
3.2113987353,1.9993908270
3.2462884874,1.9986295348
3.2811622974,1.9975640503
3.3160148589,1.9961946981
3.3508408720,1.9945218954
3.3856350446,1.9925461516
3.4203920947,1.9902680687
3.4551067513,1.9876883406
3.4897737565,1.9848077530
3.5243878667,1.9816271834
3.5589438546,1.9781476007
3.5934365107,1.9743700648
3.6278606445,1.9702957263
3.6622110865,1.9659258263
3.6964826897,1.9612616959
3.7306703312,1.9563047560
3.7647689133,1.9510565163
3.7987733659,1.9455185756
3.8326786473,1.9396926208
3.8664797461,1.9335804265
3.9001716824,1.9271838546
3.9337495100,1.9205048535
3.9672083171,1.9135454576
4.0005432283,1.9063077870
4.0337494059,1.8987940463
4.0668220514,1.8910065242
4.0997564069,1.8829475929
4.1325477569,1.8746197071
4.1651914292,1.8660254038
4.1976827966,1.8571673007
4.2300172785,1.8480480962
4.2621903418,1.8386705679
4.2941975027,1.8290375726
4.3260343281,1.8191520443
4.3576964366,1.8090169944
4.3891795000,1.7986355100
4.4204792447,1.7880107536
4.4515914529,1.7771459615
4.4825119641,1.7660444431
