x,y
-10.0000000000,0.0000453999
-9.9000000000,0.0000501747
-9.8000000000,0.0000554516
-9.7000000000,0.0000612835
-9.6000000000,0.0000677287
-9.5000000000,0.0000748518
-9.4000000000,0.0000827241
-9.3000000000,0.0000914242
-9.2000000000,0.0001010394
-9.1000000000,0.0001116658
-9.0000000000,0.0001234098
-8.9000000000,0.0001363889
-8.8000000000,0.0001507331
-8.7000000000,0.0001665858
-8.6000000000,0.0001841058
-8.5000000000,0.0002034684
-8.4000000000,0.0002248673
-8.3000000000,0.0002485168
-8.2000000000,0.0002746536
-8.1000000000,0.0003035391
-8.0000000000,0.0003354626
-7.9000000000,0.0003707435
-7.8000000000,0.0004097350
-7.7000000000,0.0004528272
-7.6000000000,0.0005004514
-7.5000000000,0.0005530844
-7.4000000000,0.0006112528
-7.3000000000,0.0006755388
-7.2000000000,0.0007465858
-7.1000000000,0.0008251049
-7.0000000000,0.0009118820
-6.9000000000,0.0010077854
-6.8000000000,0.0011137751
-6.7000000000,0.0012309119
-6.6000000000,0.0013603680
-6.5000000000,0.0015034392
-6.4000000000,0.0016615573
-6.3000000000,0.0018363048
-6.2000000000,0.0020294306
-6.1000000000,0.0022428677
-6.0000000000,0.0024787522
-5.9000000000,0.0027394448
-5.8000000000,0.0030275547
-5.7000000000,0.0033459655
-5.6000000000,0.0036978637
-5.5000000000,0.0040867714
-5.4000000000,0.0045165809
-5.3000000000,0.0049915939
-5.2000000000,0.0055165644
-5.1000000000,0.0060967466
-5.0000000000,0.0067379470
-4.9000000000,0.0074465831
-4.8000000000,0.0082297470
-4.7000000000,0.0090952771
-4.6000000000,0.0100518357
-4.5000000000,0.0111089965
-4.4000000000,0.0122773399
-4.3000000000,0.0135685590
-4.2000000000,0.0149955768
-4.1000000000,0.0165726754
-4.0000000000,0.0183156389
-3.9000000000,0.0202419114
-3.8000000000,0.0223707719
-3.7000000000,0.0247235265
-3.6000000000,0.0273237224
-3.5000000000,0.0301973834
-3.4000000000,0.0333732700
-3.3000000000,0.0368831674
-3.2000000000,0.0407622040
-3.1000000000,0.0450492024
-3.0000000000,0.0497870684
-2.9000000000,0.0550232201
-2.8000000000,0.0608100626
-2.7000000000,0.0672055127
-2.6000000000,0.0742735782
-2.5000000000,0.0820849986
-2.4000000000,0.0907179533
-2.3000000000,0.1002588437
-2.2000000000,0.1108031584
-2.1000000000,0.1224564283
-2.0000000000,0.1353352832
-1.9000000000,0.1495686192
-1.8000000000,0.1652988882
-1.7000000000,0.1826835241
-1.6000000000,0.2018965180
-1.5000000000,0.2231301601
-1.4000000000,0.2465969639
-1.3000000000,0.2725317930
-1.2000000000,0.3011942119
-1.1000000000,0.3328710837
-1.0000000000,0.3678794412
-0.9000000000,0.4065696597
-0.8000000000,0.4493289641
-0.7000000000,0.4965853038
-0.6000000000,0.5488116361
-0.5000000000,0.6065306597
-0.4000000000,0.6703200460
-0.3000000000,0.7408182207
-0.2000000000,0.8187307531
-0.1000000000,0.9048374180
-0.0000000000,1.0000000000
0.1000000000,1.1051709181
0.2000000000,1.2214027582
0.3000000000,1.3498588076
0.4000000000,1.4918246976
0.5000000000,1.6487212707
0.6000000000,1.8221188004
0.7000000000,2.0137527075
0.8000000000,2.2255409285
0.9000000000,2.4596031112
1.0000000000,2.7182818285
1.1000000000,3.0041660239
1.2000000000,3.3201169227
1.3000000000,3.6692966676
1.4000000000,4.0551999668
1.5000000000,4.4816890703
1.6000000000,4.9530324244
1.7000000000,5.4739473917
1.8000000000,6.0496474644
1.9000000000,6.6858944423
2.0000000000,7.3890560989
2.1000000000,8.1661699126
2.2000000000,9.0250134994
2.3000000000,9.9741824548
2.4000000000,11.0231763806
2.5000000000,12.1824939607
2.6000000000,13.4637380350
2.7000000000,14.8797317249
2.8000000000,16.4446467711
2.9000000000,18.1741453694
3.0000000000,20.0855369232
3.1000000000,22.1979512814
3.2000000000,24.5325301971
3.3000000000,27.1126389207
3.4000000000,29.9641000474
3.5000000000,33.1154519587
3.6000000000,36.5982344437
3.7000000000,40.4473043601
3.8000000000,44.7011844933
3.9000000000,49.4024491055
4.0000000000,54.5981500331
4.1000000000,60.3402875974
4.2000000000,66.6863310409
4.3000000000,73.6997936996
4.4000000000,81.4508686650
4.5000000000,90.0171313005
4.6000000000,99.4843156419
4.7000000000,109.9471724521
