x,y
1.0000000000,0.0000000000
1.0001522971,0.0000017721
1.0006090493,0.0000141758
1.0013698390,0.0000478361
1.0024339708,0.0001133650
1.0038004715,0.0002213554
1.0054680904,0.0003823739
1.0074353007,0.0006069551
1.0097002995,0.0009055947
1.0122610089,0.0012887433
1.0151150774,0.0017667998
1.0182598808,0.0023501052
1.0216925234,0.0030489364
1.0254098400,0.0038734994
1.0294083968,0.0048339236
1.0336844938,0.0059402551
1.0382341663,0.0072024507
1.0430531870,0.0086303718
1.0481370682,0.0102337779
1.0534810641,0.0120223211
1.0590801730,0.0140055395
1.0649291402,0.0161928518
1.0710224606,0.0185935507
1.0773543811,0.0212167976
1.0839189043,0.0240716166
1.0907097907,0.0271668887
1.0977205626,0.0305113463
1.1049445070,0.0341135671
1.1123746793,0.0379819695
1.1200039066,0.0421248061
1.1278247916,0.0465501589
1.1358297163,0.0512659341
1.1440108459,0.0562798565
1.1523601330,0.0615994643
1.1608693214,0.0672321045
1.1695299507,0.0731849277
1.1783333605,0.0794648831
1.1872706948,0.0860787137
1.1963329068,0.0930329520
1.2055107635,0.1003339150
1.2147948503,0.1079876997
1.2241755761,0.1160001791
1.2336431782,0.1243769974
1.2431877273,0.1331235662
1.2527991329,0.1422450604
1.2624671485,0.1517464139
1.2721813765,0.1616323163
1.2819312743,0.1719072084
1.2917061595,0.1825752795
1.3014952155,0.1936404632
1.3112874971,0.2051064341
1.3210719366,0.2169766049
1.3308373493,0.2292541229
1.3405724394,0.2419418670
1.3502658061,0.2550424452
1.3599059500,0.2685581913
1.3694812782,0.2824911627
1.3789801118,0.2968431374
1.3883906908,0.3116156122
1.3977011815,0.3268098001
1.4068996821,0.3424266282
1.4159742294,0.3584667359
1.4249128051,0.3749304729
1.4337033425,0.3918178976
1.4423337327,0.4091287754
1.4507918316,0.4268625775
1.4590654658,0.4450184794
1.4671424402,0.4635953597
1.4750105437,0.4825917996
1.4826575565,0.5020060814
1.4900712566,0.5218361881
1.4972394265,0.5420798029
1.5041498603,0.5627343086
1.5107903697,0.5837967872
1.5171487918,0.6052640203
1.5232129950,0.6271324885
1.5289708864,0.6493983718
1.5344104181,0.6720575501
1.5395195947,0.6951056032
1.5442864793,0.7185378117
1.5486992008,0.7423491578
1.5527459607,0.7665343258
1.5564150397,0.7910877037
1.5596948043,0.8160033838
1.5625737141,0.8412751643
1.5650403279,0.8668965509
1.5670833109,0.8928607581
1.5686914411,0.9191607112
1.5698536159,0.9457890480
1.5705588590,0.9727381212
1.5707963268,1.0000000000
1.5705553148,1.0275664730
1.5698252643,1.0554290505
1.5685957689,1.0835789668
1.5668565809,1.1120071836
1.5645976172,1.1407043920
1.5618089662,1.1696610166
1.5584808940,1.1988672177
1.5546038502,1.2283128953
1.5501684741,1.2579876920
1.5451656013,1.2878809970
1.5395862688,1.3179819498
1.5334217219,1.3482794437
1.5266634193,1.3787621299
1.5193030391,1.4094184218
1.5113324848,1.4402364992
1.5027438903,1.4712043124
1.4935296262,1.5023095869
1.4836823045,1.5335398279
1.4731947844,1.5648823252
1.4620601775,1.5963241578
1.4502718529,1.6278521990
1.4378234423,1.6594531215
1.4247088450,1.6911134025
1.4109222326,1.7228193292
1.3964580541,1.7545570039
1.3813110402,1.7863123497
1.3654762082,1.8180711164
1.3489488661,1.8498188856
1.3317246173,1.8815410773
1.3137993642,1.9132229550
1.2951693132,1.9448496325
1.2758309779,1.9764060797
1.2557811833,2.0078771286
1.2350170692,2.0392474802
1.2135360946,2.0705017101
1.1913360400,2.1016242757
1.1684150119,2.1325995226
1.1447714452,2.1634116908
1.1204041066,2.1940449222
1.0953120977,2.2244832665
1.0694948573,2.2547106890
1.0429521648,2.2847110768
1.0156841419,2.3144682462
0.9876912557,2.3439659496
0.9589743206,2.3731878830
0.9295345004,2.4021176925
0.8993733104,2.4307389824
0.8684926191,2.4590353216
0.8368946497,2.4869902519
0.8045819821,2.5145872946
0.7715575537,2.5418099583
0.7378246611,2.5686417465
0.7033869608,2.5950661650
0.6682484700,2.6210667292
0.6324135680,2.6466269722
0.5958869961,2.6717304520
0.5586738583,2.6963607593
0.5207796216,2.7205015252
0.4822101162,2.7441364289
0.4429715352,2.7672492053
0.4030704348,2.7898236527
0.3625137334,2.8118436407
0.3213087118,2.8332931178
0.2794630117,2.8541561192
0.2369846357,2.8744167744
