x,y
0.0000000000,0.0000000000
0.0871557427,0.1045284633
0.1736481777,0.2079116908
0.2588190451,0.3090169944
0.3420201433,0.4067366431
0.4226182617,0.5000000000
0.5000000000,0.5877852523
0.5735764364,0.6691306064
0.6427876097,0.7431448255
0.7071067812,0.8090169944
0.7660444431,0.8660254038
0.8191520443,0.9135454576
0.8660254038,0.9510565163
0.9063077870,0.9781476007
0.9396926208,0.9945218954
0.9659258263,1.0000000000
0.9848077530,0.9945218954
0.9961946981,0.9781476007
1.0000000000,0.9510565163
0.9961946981,0.9135454576
0.9848077530,0.8660254038
0.9659258263,0.8090169944
0.9396926208,0.7431448255
0.9063077870,0.6691306064
0.8660254038,0.5877852523
0.8191520443,0.5000000000
0.7660444431,0.4067366431
0.7071067812,0.3090169944
0.6427876097,0.2079116908
0.5735764364,0.1045284633
0.5000000000,0.0000000000
0.4226182617,-0.1045284633
0.3420201433,-0.2079116908
0.2588190451,-0.3090169944
0.1736481777,-0.4067366431
0.0871557427,-0.5000000000
0.0000000000,-0.5877852523
-0.0871557427,-0.6691306064
-0.1736481777,-0.7431448255
-0.2588190451,-0.8090169944
-0.3420201433,-0.8660254038
-0.4226182617,-0.9135454576
-0.5000000000,-0.9510565163
-0.5735764364,-0.9781476007
-0.6427876097,-0.9945218954
-0.7071067812,-1.0000000000
-0.7660444431,-0.9945218954
-0.8191520443,-0.9781476007
-0.8660254038,-0.9510565163
-0.9063077870,-0.9135454576
-0.9396926208,-0.8660254038
-0.9659258263,-0.8090169944
-0.9848077530,-0.7431448255
-0.9961946981,-0.6691306064
-1.0000000000,-0.5877852523
-0.9961946981,-0.5000000000
-0.9848077530,-0.4067366431
-0.9659258263,-0.3090169944
-0.9396926208,-0.2079116908
-0.9063077870,-0.1045284633
-0.8660254038,-0.0000000000
-0.8191520443,0.1045284633
-0.7660444431,0.2079116908
-0.7071067812,0.3090169944
-0.6427876097,0.4067366431
-0.5735764364,0.5000000000
-0.5000000000,0.5877852523
-0.4226182617,0.6691306064
-0.3420201433,0.7431448255
-0.2588190451,0.8090169944
-0.1736481777,0.8660254038
-0.0871557427,0.9135454576
-0.0000000000,0.9510565163
0.0871557427,0.9781476007
0.1736481777,0.9945218954
0.2588190451,1.0000000000
0.3420201433,0.9945218954
0.4226182617,0.9781476007
0.5000000000,0.9510565163
0.5735764364,0.9135454576
0.6427876097,0.8660254038
0.7071067812,0.8090169944
0.7660444431,0.7431448255
0.8191520443,0.6691306064
0.8660254038,0.5877852523
0.9063077870,0.5000000000
0.9396926208,0.4067366431
0.9659258263,0.3090169944
0.9848077530,0.2079116908
0.9961946981,0.1045284633
1.0000000000,0.0000000000
0.9961946981,-0.1045284633
0.9848077530,-0.2079116908
0.9659258263,-0.3090169944
0.9396926208,-0.4067366431
0.9063077870,-0.5000000000
0.8660254038,-0.5877852523
0.8191520443,-0.6691306064
0.7660444431,-0.7431448255
0.7071067812,-0.8090169944
0.6427876097,-0.8660254038
0.5735764364,-0.9135454576
0.5000000000,-0.9510565163
0.4226182617,-0.9781476007
0.3420201433,-0.9945218954
0.2588190451,-1.0000000000
0.1736481777,-0.9945218954
0.0871557427,-0.9781476007
0.0000000000,-0.9510565163
-0.0871557427,-0.9135454576
-0.1736481777,-0.8660254038
-0.2588190451,-0.8090169944
-0.3420201433,-0.7431448255
-0.4226182617,-0.6691306064
-0.5000000000,-0.5877852523
-0.5735764364,-0.5000000000
-0.6427876097,-0.4067366431
-0.7071067812,-0.3090169944
-0.7660444431,-0.2079116908
-0.8191520443,-0.1045284633
-0.8660254038,-0.0000000000
-0.9063077870,0.1045284633
-0.9396926208,0.2079116908
-0.9659258263,0.3090169944
-0.9848077530,0.4067366431
-0.9961946981,0.5000000000
-1.0000000000,0.5877852523
-0.9961946981,0.6691306064
-0.9848077530,0.7431448255
-0.9659258263,0.8090169944
-0.9396926208,0.8660254038
-0.9063077870,0.9135454576
-0.8660254038,0.9510565163
-0.8191520443,0.9781476007
-0.7660444431,0.9945218954
-0.7071067812,1.0000000000
-0.6427876097,0.9945218954
-0.5735764364,0.9781476007
-0.5000000000,0.9510565163
-0.4226182617,0.9135454576
-0.3420201433,0.8660254038
-0.2588190451,0.8090169944
-0.1736481777,0.7431448255
-0.0871557427,0.6691306064
-0.0000000000,0.5877852523
0.0871557427,0.5000000000
0.1736481777,0.4067366431
0.2588190451,0.3090169944
0.3420201433,0.2079116908
0.4226182617,0.1045284633
0.5000000000,0.0000000000
0.5735764364,-0.1045284633
0.6427876097,-0.2079116908
0.7071067812,-0.3090169944
0.7660444431,-0.4067366431
0.8191520443,-0.5000000000
0.8660254038,-0.5877852523
0.9063077870,-0.6691306064
0.9396926208,-0.7431448255
0.9659258263,-0.8090169944
0.9848077530,-0.8660254038
0.9961946981,-0.9135454576
1.0000000000,-0.9510565163
0.9961946981,-0.9781476007
0.9848077530,-0.9945218954
0.9659258263,-1.0000000000
0.9396926208,-0.9945218954
0.9063077870,-0.9781476007
0.8660254038,-0.9510565163
0.8191520443,-0.9135454576
0.7660444431,-0.8660254038
0.7071067812,-0.8090169944
0.6427876097,-0.7431448255
0.5735764364,-0.6691306064
0.5000000000,-0.5877852523
0.4226182617,-0.5000000000
0.3420201433,-0.4067366431
0.2588190451,-0.3090169944
0.1736481777,-0.2079116908
0.0871557427,-0.1045284633
0.0000000000,-0.0000000000
-0.0871557427,0.1045284633
-0.1736481777,0.2079116908
-0.2588190451,0.3090169944
-0.3420201433,0.4067366431
-0.4226182617,0.5000000000
-0.5000000000,0.5877852523
-0.5735764364,0.6691306064
-0.6427876097,0.7431448255
-0.7071067812,0.8090169944
-0.7660444431,0.8660254038
-0.8191520443,0.9135454576
-0.8660254038,0.9510565163
-0.9063077870,0.9781476007
-0.9396926208,0.9945218954
-0.9659258263,1.0000000000
-0.9848077530,0.9945218954
-0.9961946981,0.9781476007
-1.0000000000,0.9510565163
-0.9961946981,0.9135454576
-0.9848077530,0.8660254038
-0.9659258263,0.8090169944
-0.9396926208,0.7431448255
-0.9063077870,0.6691306064
-0.8660254038,0.5877852523
-0.8191520443,0.5000000000
-0.7660444431,0.4067366431
-0.7071067812,0.3090169944
-0.6427876097,0.2079116908
-0.5735764364,0.1045284633
-0.5000000000,-0.0000000000
-0.4226182617,-0.1045284633
-0.3420201433,-0.2079116908
-0.2588190451,-0.3090169944
-0.1736481777,-0.4067366431
-0.0871557427,-0.5000000000
-0.0000000000,-0.5877852523
0.0871557427,-0.6691306064
0.1736481777,-0.7431448255
0.2588190451,-0.8090169944
0.3420201433,-0.8660254038
0.4226182617,-0.9135454576
0.5000000000,-0.9510565163
0.5735764364,-0.9781476007
0.6427876097,-0.9945218954
0.7071067812,-1.0000000000
0.7660444431,-0.9945218954
0.8191520443,-0.9781476007
0.8660254038,-0.9510565163
0.9063077870,-0.9135454576
0.9396926208,-0.8660254038
0.9659258263,-0.8090169944
0.9848077530,-0.7431448255
0.9961946981,-0.6691306064
1.0000000000,-0.5877852523
0.9961946981,-0.5000000000
0.9848077530,-0.4067366431
0.9659258263,-0.3090169944
0.9396926208,-0.2079116908
0.9063077870,-0.1045284633
0.8660254038,-0.0000000000
0.8191520443,0.1045284633
0.7660444431,0.2079116908
0.7071067812,0.3090169944
0.6427876097,0.4067366431
0.5735764364,0.5000000000
0.5000000000,0.5877852523
0.4226182617,0.6691306064
0.3420201433,0.7431448255
0.2588190451,0.8090169944
0.1736481777,0.8660254038
0.0871557427,0.9135454576
0.0000000000,0.9510565163
-0.0871557427,0.9781476007
-0.1736481777,0.9945218954
-0.2588190451,1.0000000000
-0.3420201433,0.9945218954
-0.4226182617,0.9781476007
-0.5000000000,0.9510565163
-0.5735764364,0.9135454576
-0.6427876097,0.8660254038
-0.7071067812,0.8090169944
-0.7660444431,0.7431448255
-0.8191520443,0.6691306064
-0.8660254038,0.5877852523
-0.9063077870,0.5000000000
-0.9396926208,0.4067366431
-0.9659258263,0.3090169944
-0.9848077530,0.2079116908
-0.9961946981,0.1045284633
-1.0000000000,0.0000000000
-0.9961946981,-0.1045284633
-0.9848077530,-0.2079116908
-0.9659258263,-0.3090169944
-0.9396926208,-0.4067366431
-0.9063077870,-0.5000000000
-0.8660254038,-0.5877852523
-0.8191520443,-0.6691306064
-0.7660444431,-0.7431448255
-0.7071067812,-0.8090169944
-0.6427876097,-0.8660254038
-0.5735764364,-0.9135454576
-0.5000000000,-0.9510565163
-0.4226182617,-0.9781476007
-0.3420201433,-0.9945218954
-0.2588190451,-1.0000000000
-0.1736481777,-0.9945218954
-0.0871557427,-0.9781476007
-0.0000000000,-0.9510565163
0.0871557427,-0.9135454576
0.1736481777,-0.8660254038
0.2588190451,-0.8090169944
0.3420201433,-0.7431448255
0.4226182617,-0.6691306064
0.5000000000,-0.5877852523
0.5735764364,-0.5000000000
0.6427876097,-0.4067366431
0.7071067812,-0.3090169944
0.7660444431,-0.2079116908
0.8191520443,-0.1045284633
0.8660254038,-0.0000000000
0.9063077870,0.1045284633
0.9396926208,0.2079116908
0.9659258263,0.3090169944
0.9848077530,0.4067366431
0.9961946981,0.5000000000
1.0000000000,0.5877852523
0.9961946981,0.6691306064
0.9848077530,0.7431448255
0.9659258263,0.8090169944
0.9396926208,0.8660254038
0.9063077870,0.9135454576
0.8660254038,0.9510565163
0.8191520443,0.9781476007
0.7660444431,0.9945218954
0.7071067812,1.0000000000
0.6427876097,0.9945218954
0.5735764364,0.9781476007
0.5000000000,0.9510565163
0.4226182617,0.9135454576
0.3420201433,0.8660254038
0.2588190451,0.8090169944
0.1736481777,0.7431448255
0.0871557427,0.6691306064
0.0000000000,0.5877852523
-0.0871557427,0.5000000000
-0.1736481777,0.4067366431
-0.2588190451,0.3090169944
-0.3420201433,0.2079116908
-0.4226182617,0.1045284633
-0.5000000000,0.0000000000
-0.5735764364,-0.1045284633
-0.6427876097,-0.2079116908
-0.7071067812,-0.3090169944
-0.7660444431,-0.4067366431
-0.8191520443,-0.5000000000
-0.8660254038,-0.5877852523
-0.9063077870,-0.6691306064
-0.9396926208,-0.7431448255
-0.9659258263,-0.8090169944
-0.9848077530,-0.8660254038
-0.9961946981,-0.9135454576
-1.0000000000,-0.9510565163
-0.9961946981,-0.9781476007
-0.9848077530,-0.9945218954
-0.9659258263,-1.0000000000
-0.9396926208,-0.9945218954
-0.9063077870,-0.9781476007
-0.8660254038,-0.9510565163
-0.8191520443,-0.9135454576
-0.7660444431,-0.8660254038
-0.7071067812,-0.8090169944
-0.6427876097,-0.7431448255
-0.5735764364,-0.6691306064
-0.5000000000,-0.5877852523
-0.4226182617,-0.5000000000
-0.3420201433,-0.4067366431
-0.2588190451,-0.3090169944
-0.1736481777,-0.2079116908
-0.0871557427,-0.1045284633
-0.0000000000,-0.0000000000
0.0871557427,0.1045284633
0.1736481777,0.2079116908
0.2588190451,0.3090169944
0.3420201433,0.4067366431
0.4226182617,0.5000000000
0.5000000000,0.5877852523
0.5735764364,0.6691306064
0.6427876097,0.7431448255
0.7071067812,0.8090169944
0.7660444431,0.8660254038
0.8191520443,0.9135454576
0.8660254038,0.9510565163
0.9063077870,0.9781476007
0.9396926208,0.9945218954
0.9659258263,1.0000000000
0.9848077530,0.9945218954
0.9961946981,0.9781476007
1.0000000000,0.9510565163
0.9961946981,0.9135454576
0.9848077530,0.8660254038
0.9659258263,0.8090169944
0.9396926208,0.7431448255
0.9063077870,0.6691306064
0.8660254038,0.5877852523
0.8191520443,0.5000000000
0.7660444431,0.4067366431
0.7071067812,0.3090169944
0.6427876097,0.2079116908
0.5735764364,0.1045284633
0.5000000000,-0.0000000000
0.4226182617,-0.1045284633
0.3420201433,-0.2079116908
0.2588190451,-0.3090169944
0.1736481777,-0.4067366431
0.0871557427,-0.5000000000
0.0000000000,-0.5877852523
-0.0871557427,-0.6691306064
-0.1736481777,-0.7431448255
-0.2588190451,-0.8090169944
-0.3420201433,-0.8660254038
-0.4226182617,-0.9135454576
-0.5000000000,-0.9510565163
-0.5735764364,-0.9781476007
-0.6427876097,-0.9945218954
-0.7071067812,-1.0000000000
-0.7660444431,-0.9945218954
-0.8191520443,-0.9781476007
-0.8660254038,-0.9510565163
-0.9063077870,-0.9135454576
-0.9396926208,-0.8660254038
-0.9659258263,-0.8090169944
-0.9848077530,-0.7431448255
-0.9961946981,-0.6691306064
-1.0000000000,-0.5877852523
-0.9961946981,-0.5000000000
-0.9848077530,-0.4067366431
-0.9659258263,-0.3090169944
-0.9396926208,-0.2079116908
-0.9063077870,-0.1045284633
-0.8660254038,0.0000000000
-0.8191520443,0.1045284633
-0.7660444431,0.2079116908
-0.7071067812,0.3090169944
-0.6427876097,0.4067366431
-0.5735764364,0.5000000000
-0.5000000000,0.5877852523
-0.4226182617,0.6691306064
-0.3420201433,0.7431448255
-0.2588190451,0.8090169944
-0.1736481777,0.8660254038
-0.0871557427,0.9135454576
-0.0000000000,0.9510565163
0.0871557427,0.9781476007
0.1736481777,0.9945218954
0.2588190451,1.0000000000
0.3420201433,0.9945218954
0.4226182617,0.9781476007
0.5000000000,0.9510565163
0.5735764364,0.9135454576
0.6427876097,0.8660254038
0.7071067812,0.8090169944
0.7660444431,0.7431448255
0.8191520443,0.6691306064
0.8660254038,0.5877852523
0.9063077870,0.5000000000
0.9396926208,0.4067366431
0.9659258263,0.3090169944
0.9848077530,0.2079116908
0.9961946981,0.1045284633
1.0000000000,0.0000000000
0.9961946981,-0.1045284633
0.9848077530,-0.2079116908
0.9659258263,-0.3090169944
0.9396926208,-0.4067366431
0.9063077870,-0.5000000000
0.8660254038,-0.5877852523
0.8191520443,-0.6691306064
0.7660444431,-0.7431448255
