x,y
0.1000000000,-2.3025850930
0.2000000000,-1.6094379124
0.3000000000,-1.2039728043
0.4000000000,-0.9162907319
0.5000000000,-0.6931471806
0.6000000000,-0.5108256238
0.7000000000,-0.3566749439
0.8000000000,-0.2231435513
0.9000000000,-0.1053605157
1.0000000000,0.0000000000
1.1000000000,0.0953101798
1.2000000000,0.1823215568
1.3000000000,0.2623642645
1.4000000000,0.3364722366
1.5000000000,0.4054651081
1.6000000000,0.4700036292
1.7000000000,0.5306282511
1.8000000000,0.5877866649
1.9000000000,0.6418538862
2.0000000000,0.6931471806
2.1000000000,0.7419373447
2.2000000000,0.7884573604
2.3000000000,0.8329091229
2.4000000000,0.8754687374
2.5000000000,0.9162907319
2.6000000000,0.9555114450
2.7000000000,0.9932517730
2.8000000000,1.0296194172
2.9000000000,1.0647107370
3.0000000000,1.0986122887
3.1000000000,1.1314021115
3.2000000000,1.1631508098
3.3000000000,1.1939224685
3.4000000000,1.2237754316
3.5000000000,1.2527629685
3.6000000000,1.2809338455
3.7000000000,1.3083328197
3.8000000000,1.3350010667
3.9000000000,1.3609765531
4.0000000000,1.3862943611
4.1000000000,1.4109869737
4.2000000000,1.4350845253
4.3000000000,1.4586150227
4.4000000000,1.4816045409
4.5000000000,1.5040773968
4.6000000000,1.5260563035
4.7000000000,1.5475625087
4.8000000000,1.5686159179
4.9000000000,1.5892352051
5.0000000000,1.6094379124
5.1000000000,1.6292405397
5.2000000000,1.6486586256
5.3000000000,1.6677068206
5.4000000000,1.6863989536
5.5000000000,1.7047480922
5.6000000000,1.7227665977
5.7000000000,1.7404661748
5.8000000000,1.7578579176
5.9000000000,1.7749523509
6.0000000000,1.7917594692
6.1000000000,1.8082887712
6.2000000000,1.8245492921
6.3000000000,1.8405496334
6.4000000000,1.8562979904
6.5000000000,1.8718021769
6.6000000000,1.8870696490
6.7000000000,1.9021075264
6.8000000000,1.9169226122
6.9000000000,1.9315214116
7.0000000000,1.9459101491
7.1000000000,1.9600947840
7.2000000000,1.9740810260
7.3000000000,1.9878743482
7.4000000000,2.0014800002
7.5000000000,2.0149030205
7.6000000000,2.0281482473
7.7000000000,2.0412203289
7.8000000000,2.0541237337
7.9000000000,2.0668627595
8.0000000000,2.0794415417
8.1000000000,2.0918640617
8.2000000000,2.1041341543
8.3000000000,2.1162555148
8.4000000000,2.1282317058
8.5000000000,2.1400661635
8.6000000000,2.1517622033
8.7000000000,2.1633230257
8.8000000000,2.1747517215
8.9000000000,2.1860512767
9.0000000000,2.1972245773
9.1000000000,2.2082744135
9.2000000000,2.2192034841
9.3000000000,2.2300144002
9.4000000000,2.2407096893
9.5000000000,2.2512917986
9.6000000000,2.2617630985
9.7000000000,2.2721258855
9.8000000000,2.2823823857
9.9000000000,2.2925347571
10.0000000000,2.3025850930
