x,y
1.0000000000,0.0000000000
1.0042198854,0.0175287233
1.0081503222,0.0352053850
1.0117874956,0.0530255357
1.0151276529,0.0709846405
1.0181671052,0.0890780793
1.0209022287,0.1073011480
1.0233294671,0.1256490593
1.0254453326,0.1441169430
1.0272464084,0.1626998475
1.0287293499,0.1813927402
1.0298908868,0.2001905089
1.0307278243,0.2190879623
1.0312370453,0.2380798313
1.0314155120,0.2571607697
1.0312602674,0.2763253558
1.0307684368,0.2955680931
1.0299372302,0.3148834113
1.0287639432,0.3342656679
1.0272459587,0.3537091492
1.0253807492,0.3732080715
1.0231658775,0.3927565822
1.0205989988,0.4123487616
1.0176778623,0.4319786236
1.0144003125,0.4516401175
1.0107642910,0.4713271295
1.0067678376,0.4910334835
1.0024090925,0.5107529434
0.9976862970,0.5304792140
0.9925977955,0.5502059425
0.9871420368,0.5699267207
0.9813175753,0.5896350858
0.9751230728,0.6093245225
0.9685572995,0.6289884647
0.9616191355,0.6486202969
0.9543075724,0.6682133560
0.9466217140,0.6877609332
0.9385607781,0.7072562756
0.9301240975,0.7266925882
0.9213111213,0.7460630357
0.9121214162,0.7653607439
0.9025546674,0.7845788025
0.8926106799,0.8037102662
0.8822893798,0.8227481570
0.8715908152,0.8416854664
0.8605151569,0.8605151569
0.8490627002,0.8792301644
0.8372338652,0.8978234001
0.8250291983,0.9162877527
0.8124493725,0.9346160906
0.7994951889,0.9528012637
0.7861675773,0.9708361058
0.7724675969,0.9887134369
0.7583964374,1.0064260650
0.7439554195,1.0239667890
0.7291459956,1.0413284003
0.7139697508,1.0585036852
0.6984284031,1.0754854277
0.6825238045,1.0922664112
0.6662579411,1.1088394213
0.6496329338,1.1251972477
0.6326510392,1.1413326871
0.6153146492,1.1572385453
0.5976262923,1.1729076396
0.5795886333,1.1883328014
0.5612044741,1.2035068785
0.5424767536,1.2184227376
0.5234085483,1.2330732668
0.5040030723,1.2474513784
0.4842636775,1.2615500107
0.4641938537,1.2753621312
0.4437972286,1.2888807389
0.4230775683,1.3020988668
0.4020387764,1.3150095844
0.3806848948,1.3276060007
0.3590201032,1.3398812661
0.3370487189,1.3518285756
0.3147751969,1.3634411710
0.2922041291,1.3747123439
0.2693402448,1.3856354378
0.2461884095,1.3962038513
0.2227536254,1.4064110401
0.1990410303,1.4162505202
0.1750558971,1.4257158703
0.1508036339,1.4348007343
0.1262897829,1.4434988242
0.1015200199,1.4518039225
0.0765001535,1.4597098851
0.0512361247,1.4672106436
0.0257340059,1.4743002082
0.0000000000,1.4809726705
-0.0259595602,1.4872222055
-0.0521382131,1.4930430749
-0.0785293693,1.4984296293
-0.1051263126,1.5033763111
-0.1319222010,1.5078776568
-0.1589100677,1.5119283000
-0.1860828229,1.5155229736
-0.2134332539,1.5186565126
-0.2409540276,1.5213238567
-0.2686376909,1.5235200526
-0.2964766726,1.5252402569
-0.3244632847,1.5264797385
-0.3525897235,1.5272338810
-0.3808480719,1.5274981853
-0.4092303001,1.5272682721
-0.4377282681,1.5265398846
-0.4663337265,1.5253088903
-0.4950383189,1.5235712842
-0.5238335833,1.5213231908
-0.5527109543,1.5185608664
-0.5816617644,1.5152807019
-0.6106772466,1.5114792247
-0.6397485357,1.5071531014
-0.6688666709,1.5022991398
-0.6980225976,1.4969142912
-0.7272071694,1.4909956531
-0.7564111506,1.4845404706
-0.7856252181,1.4775461396
-0.8148399640,1.4700102080
-0.8440458975,1.4619303784
-0.8732334476,1.4533045101
-0.9023929653,1.4441306211
-0.9315147263,1.4344068903
-0.9605889332,1.4241316592
-0.9896057183,1.4133034340
-1.0185551458,1.4019208877
-1.0474272152,1.3899828620
-1.0762118630,1.3774883686
-1.1048989663,1.3644365917
-1.1334783448,1.3508268895
-1.1619397643,1.3366587960
-1.1902729392,1.3219320223
-1.2184675353,1.3066464590
