x,y
-10.0000000000,100.0000000000
-9.9000000000,98.0100000000
-9.8000000000,96.0400000000
-9.7000000000,94.0900000000
-9.6000000000,92.1600000000
-9.5000000000,90.2500000000
-9.4000000000,88.3600000000
-9.3000000000,86.4900000000
-9.2000000000,84.6400000000
-9.1000000000,82.8100000000
-9.0000000000,81.0000000000
-8.9000000000,79.2100000000
-8.8000000000,77.4400000000
-8.7000000000,75.6900000000
-8.6000000000,73.9600000000
-8.5000000000,72.2500000000
-8.4000000000,70.5600000000
-8.3000000000,68.8900000000
-8.2000000000,67.2400000000
-8.1000000000,65.6100000000
-8.0000000000,64.0000000000
-7.9000000000,62.4100000000
-7.8000000000,60.8400000000
-7.7000000000,59.2900000000
-7.6000000000,57.7600000000
-7.5000000000,56.2500000000
-7.4000000000,54.7600000000
-7.3000000000,53.2900000000
-7.2000000000,51.8400000000
-7.1000000000,50.4100000000
-7.0000000000,49.0000000000
-6.9000000000,47.6100000000
-6.8000000000,46.2400000000
-6.7000000000,44.8900000000
-6.6000000000,43.5600000000
-6.5000000000,42.2500000000
-6.4000000000,40.9600000000
-6.3000000000,39.6900000000
-6.2000000000,38.4400000000
-6.1000000000,37.2100000000
-6.0000000000,36.0000000000
-5.9000000000,34.8100000000
-5.8000000000,33.6400000000
-5.7000000000,32.4900000000
-5.6000000000,31.3600000000
-5.5000000000,30.2500000000
-5.4000000000,29.1600000000
-5.3000000000,28.0900000000
-5.2000000000,27.0400000000
-5.1000000000,26.0100000000
-5.0000000000,25.0000000000
-4.9000000000,24.0100000000
-4.8000000000,23.0400000000
-4.7000000000,22.0900000000
-4.6000000000,21.1600000000
-4.5000000000,20.2500000000
-4.4000000000,19.3600000000
-4.3000000000,18.4900000000
-4.2000000000,17.6400000000
-4.1000000000,16.8100000000
-4.0000000000,16.0000000000
-3.9000000000,15.2100000000
-3.8000000000,14.4400000000
-3.7000000000,13.6900000000
-3.6000000000,12.9600000000
-3.5000000000,12.2500000000
-3.4000000000,11.5600000000
-3.3000000000,10.8900000000
-3.2000000000,10.2400000000
-3.1000000000,9.6100000000
