x,y
-6.2831853072,0.0000000000
-6.2657320147,0.0174524064
-6.2482787221,0.0348994967
-6.2308254296,0.0523359562
-6.2133721371,0.0697564737
-6.1959188446,0.0871557427
-6.1784655521,0.1045284633
-6.1610122595,0.1218693434
-6.1435589670,0.1391731010
-6.1261056745,0.1564344650
-6.1086523820,0.1736481777
-6.0911990895,0.1908089954
-6.0737457969,0.2079116908
-6.0562925044,0.2249510543
-6.0388392119,0.2419218956
-6.0213859194,0.2588190451
-6.0039326269,0.2756373558
-5.9864793343,0.2923717047
-5.9690260418,0.3090169944
-5.9515727493,0.3255681545
-5.9341194568,0.3420201433
-5.9166661643,0.3583679495
-5.8992128717,0.3746065934
-5.8817595792,0.3907311285
-5.8643062867,0.4067366431
-5.8468529942,0.4226182617
-5.8293997017,0.4383711468
-5.8119464091,0.4539904997
-5.7944931166,0.4694715628
-5.7770398241,0.4848096202
-5.7595865316,0.5000000000
-5.7421332391,0.5150380749
-5.7246799465,0.5299192642
-5.7072266540,0.5446390350
-5.6897733615,0.5591929035
-5.6723200690,0.5735764364
-5.6548667765,0.5877852523
-5.6374134839,0.6018150232
-5.6199601914,0.6156614753
-5.6025068989,0.6293203910
-5.5850536064,0.6427876097
-5.5676003139,0.6560590290
-5.5501470213,0.6691306064
-5.5326937288,0.6819983601
-5.5152404363,0.6946583705
-5.4977871438,0.7071067812
-5.4803338513,0.7193398003
-5.4628805587,0.7313537016
-5.4454272662,0.7431448255
-5.4279739737,0.7547095802
-5.4105206812,0.7660444431
-5.3930673887,0.7771459615
-5.3756140961,0.7880107536
-5.3581608036,0.7986355100
-5.3407075111,0.8090169944
-5.3232542186,0.8191520443
-5.3058009261,0.8290375726
-5.2883476335,0.8386705679
-5.2708943410,0.8480480962
-5.2534410485,0.8571673007
-5.2359877560,0.8660254038
-5.2185344635,0.8746197071
-5.2010811709,0.8829475929
-5.1836278784,0.8910065242
-5.1661745859,0.8987940463
-5.1487212934,0.9063077870
-5.1312680009,0.9135454576
-5.1138147083,0.9205048535
-5.0963614158,0.9271838546
-5.0789081233,0.9335804265
-5.0614548308,0.9396926208
-5.0440015383,0.9455185756
-5.0265482457,0.9510565163
-5.0090949532,0.9563047560
-4.9916416607,0.9612616959
-4.9741883682,0.9659258263
-4.9567350757,0.9702957263
-4.9392817831,0.9743700648
-4.9218284906,0.9781476007
-4.9043751981,0.9816271834
-4.8869219056,0.9848077530
-4.8694686131,0.9876883406
-4.8520153205,0.9902680687
-4.8345620280,0.9925461516
-4.8171087355,0.9945218954
-4.7996554430,0.9961946981
-4.7822021505,0.9975640503
-4.7647488579,0.9986295348
-4.7472955654,0.9993908270
-4.7298422729,0.9998476952
-4.7123889804,1.0000000000
-4.6949356879,0.9998476952
-4.6774823953,0.9993908270
-4.6600291028,0.9986295348
-4.6425758103,0.9975640503
-4.6251225178,0.9961946981
-4.6076692253,0.9945218954
-4.5902159327,0.9925461516
-4.5727626402,0.9902680687
-4.5553093477,0.9876883406
-4.5378560552,0.9848077530
-4.5204027627,0.9816271834
