x,y
-3.1415926536,0.0000000000
-3.1241393611,0.0174550649
-3.1066860685,0.0349207695
-3.0892327760,0.0524077793
-3.0717794835,0.0699268119
-3.0543261910,0.0874886635
-3.0368728985,0.1051042353
-3.0194196060,0.1227845609
-3.0019663134,0.1405408347
-2.9845130209,0.1583844403
-2.9670597284,0.1763269807
-2.9496064359,0.1943803091
-2.9321531434,0.2125565617
-2.9146998508,0.2308681911
-2.8972465583,0.2493280028
-2.8797932658,0.2679491924
-2.8623399733,0.2867453858
-2.8448866808,0.3057306815
-2.8274333882,0.3249196962
-2.8099800957,0.3443276133
-2.7925268032,0.3639702343
-2.7750735107,0.3838640350
-2.7576202182,0.4040262258
-2.7401669256,0.4244748162
-2.7227136331,0.4452286853
-2.7052603406,0.4663076582
-2.6878070481,0.4877325886
-2.6703537556,0.5095254495
-2.6529004630,0.5317094317
-2.6354471705,0.5543090515
-2.6179938780,0.5773502692
-2.6005405855,0.6008606190
-2.5830872930,0.6248693519
-2.5656340004,0.6494075932
-2.5481807079,0.6745085168
-2.5307274154,0.7002075382
-2.5132741229,0.7265425280
-2.4958208304,0.7535540501
-2.4783675378,0.7812856265
-2.4609142453,0.8097840332
-2.4434609528,0.8390996312
-2.4260076603,0.8692867378
-2.4085543678,0.9004040443
-2.3911010752,0.9325150861
-2.3736477827,0.9656887748
-2.3561944902,1.0000000000
-2.3387411977,1.0355303138
-2.3212879052,1.0723687100
-2.3038346126,1.1106125148
-2.2863813201,1.1503684072
-2.2689280276,1.1917535926
-2.2514747351,1.2348971565
-2.2340214426,1.2799416322
-2.2165681500,1.3270448216
-2.1991148575,1.3763819205
-2.1816615650,1.4281480067
-2.1642082725,1.4825609685
-2.1467549800,1.5398649638
-2.1293016874,1.6003345290
-2.1118483949,1.6642794824
-2.0943951024,1.7320508076
-2.0769418099,1.8040477553
-2.0594885174,1.8807264653
-2.0420352248,1.9626105055
-2.0245819323,2.0503038416
-2.0071286398,2.1445069205
-1.9896753473,2.2460367739
-1.9722220548,2.3558523658
-1.9547687622,2.4750868534
-1.9373154697,2.6050890647
-1.9198621772,2.7474774195
-1.9024088847,2.9042108777
-1.8849555922,3.0776835372
-1.8675022996,3.2708526185
-1.8500490071,3.4874144438
-1.8325957146,3.7320508076
-1.8151424221,4.0107809335
-1.7976891296,4.3314758743
-1.7802358370,4.7046301095
-1.7627825445,5.1445540160
-1.7453292520,5.6712818196
-1.7278759595,6.3137515147
-1.7104226670,7.1153697224
-1.6929693744,8.1443464280
-1.6755160819,9.5143644542
-1.6580627894,11.4300523028
-1.6406094969,14.3006662567
-1.6231562044,19.0811366877
-1.6057029118,28.6362532829
-1.5882496193,57.2899616308
