x,y
-10.0000000000,0.0009765625
-9.9000000000,0.0010466538
-9.8000000000,0.0011217757
-9.7000000000,0.0012022895
-9.6000000000,0.0012885819
-9.5000000000,0.0013810679
-9.4000000000,0.0014801920
-9.3000000000,0.0015864305
-9.2000000000,0.0017002941
-9.1000000000,0.0018223301
-9.0000000000,0.0019531250
-8.9000000000,0.0020933075
-8.8000000000,0.0022435515
-8.7000000000,0.0024045789
-8.6000000000,0.0025771639
-8.5000000000,0.0027621359
-8.4000000000,0.0029603839
-8.3000000000,0.0031728609
-8.2000000000,0.0034005881
-8.1000000000,0.0036446601
-8.0000000000,0.0039062500
-7.9000000000,0.0041866151
-7.8000000000,0.0044871029
-7.7000000000,0.0048091579
-7.6000000000,0.0051543278
-7.5000000000,0.0055242717
-7.4000000000,0.0059207678
-7.3000000000,0.0063457218
-7.2000000000,0.0068011763
-7.1000000000,0.0072893202
-7.0000000000,0.0078125000
-6.9000000000,0.0083732302
-6.8000000000,0.0089742059
-6.7000000000,0.0096183157
-6.6000000000,0.0103086556
-6.5000000000,0.0110485435
-6.4000000000,0.0118415357
-6.3000000000,0.0126914437
-6.2000000000,0.0136023526
-6.1000000000,0.0145786405
-6.0000000000,0.0156250000
-5.9000000000,0.0167464604
-5.8000000000,0.0179484118
-5.7000000000,0.0192366315
-5.6000000000,0.0206173111
-5.5000000000,0.0220970869
-5.4000000000,0.0236830714
-5.3000000000,0.0253828874
-5.2000000000,0.0272047051
-5.1000000000,0.0291572810
-5.0000000000,0.0312500000
-4.9000000000,0.0334929207
-4.8000000000,0.0358968236
-4.7000000000,0.0384732629
-4.6000000000,0.0412346222
-4.5000000000,0.0441941738
-4.4000000000,0.0473661427
-4.3000000000,0.0507657748
-4.2000000000,0.0544094102
-4.1000000000,0.0583145620
-4.0000000000,0.0625000000
-3.9000000000,0.0669858414
-3.8000000000,0.0717936472
-3.7000000000,0.0769465258
-3.6000000000,0.0824692444
-3.5000000000,0.0883883476
-3.4000000000,0.0947322854
-3.3000000000,0.1015315495
-3.2000000000,0.1088188204
-3.1000000000,0.1166291239
-3.0000000000,0.1250000000
-2.9000000000,0.1339716828
-2.8000000000,0.1435872944
-2.7000000000,0.1538930517
-2.6000000000,0.1649384888
-2.5000000000,0.1767766953
-2.4000000000,0.1894645708
-2.3000000000,0.2030630991
-2.2000000000,0.2176376408
-2.1000000000,0.2332582479
-2.0000000000,0.2500000000
-1.9000000000,0.2679433656
-1.8000000000,0.2871745887
-1.7000000000,0.3077861033
-1.6000000000,0.3298769777
-1.5000000000,0.3535533906
-1.4000000000,0.3789291416
-1.3000000000,0.4061261982
-1.2000000000,0.4352752816
-1.1000000000,0.4665164958
-1.0000000000,0.5000000000
-0.9000000000,0.5358867313
-0.8000000000,0.5743491775
-0.7000000000,0.6155722067
-0.6000000000,0.6597539554
-0.5000000000,0.7071067812
-0.4000000000,0.7578582833
-0.3000000000,0.8122523964
-0.2000000000,0.8705505633
-0.1000000000,0.9330329915
-0.0000000000,1.0000000000
0.1000000000,1.0717734625
0.2000000000,1.1486983550
0.3000000000,1.2311444133
0.4000000000,1.3195079108
0.5000000000,1.4142135624
0.6000000000,1.5157165665
0.7000000000,1.6245047927
0.8000000000,1.7411011266
0.9000000000,1.8660659831
1.0000000000,2.0000000000
1.1000000000,2.1435469251
1.2000000000,2.2973967100
1.3000000000,2.4622888267
1.4000000000,2.6390158215
1.5000000000,2.8284271247
1.6000000000,3.0314331330
1.7000000000,3.2490095854
1.8000000000,3.4822022532
1.9000000000,3.7321319661
2.0000000000,4.0000000000
2.1000000000,4.2870938501
2.2000000000,4.5947934200
2.3000000000,4.9245776534
2.4000000000,5.2780316431
2.5000000000,5.6568542495
2.6000000000,6.0628662660
2.7000000000,6.4980191708
2.8000000000,6.9644045064
2.9000000000,7.4642639323
3.0000000000,8.0000000000
3.1000000000,8.5741877003
3.2000000000,9.1895868400
3.3000000000,9.8491553068
3.4000000000,10.5560632862
3.5000000000,11.3137084990
3.6000000000,12.1257325321
3.7000000000,12.9960383417
3.8000000000,13.9288090127
3.9000000000,14.9285278646
4.0000000000,16.0000000000
4.1000000000,17.1483754006
4.2000000000,18.3791736800
4.3000000000,19.6983106135
4.4000000000,21.1121265724
4.5000000000,22.6274169980
4.6000000000,24.2514650642
4.7000000000,25.9920766834
4.8000000000,27.8576180255
4.9000000000,29.8570557292
5.0000000000,32.0000000000
5.1000000000,34.2967508012
5.2000000000,36.7583473599
5.3000000000,39.3966212270
5.4000000000,42.2242531447
5.5000000000,45.2548339959
5.6000000000,48.5029301283
5.7000000000,51.9841533668
5.8000000000,55.7152360509
5.9000000000,59.7141114584
6.0000000000,64.0000000000
6.1000000000,68.5935016023
6.2000000000,73.5166947198
6.3000000000,78.7932424541
6.4000000000,84.4485062895
6.5000000000,90.5096679919
6.6000000000,97.0058602567
6.7000000000,103.9683067336
6.8000000000,111.4304721019
6.9000000000,119.4282229167
7.0000000000,128.0000000000
7.1000000000,137.1870032046
7.2000000000,147.0333894396
7.3000000000,157.5864849081
7.4000000000,168.8970125789
7.5000000000,181.0193359837
7.6000000000,194.0117205133
7.7000000000,207.9366134672
7.8000000000,222.8609442038
7.9000000000,238.8564458334
8.0000000000,256.0000000000
8.1000000000,274.3740064093
8.2000000000,294.0667788792
8.3000000000,315.1729698163
8.4000000000,337.7940251578
8.5000000000,362.0386719675
8.6000000000,388.0234410266
8.7000000000,415.8732269344
8.8000000000,445.7218884076
8.9000000000,477.7128916668
9.0000000000,512.0000000000
9.1000000000,548.7480128186
9.2000000000,588.1335577585
9.3000000000,630.3459396326
9.4000000000,675.5880503157
9.5000000000,724.0773439350
9.6000000000,776.0468820533
9.7000000000,831.7464538687
9.8000000000,891.4437768152
9.9000000000,955.4257833336
10.0000000000,1023.9999999999
