"date","tests","positives"
"2020/2/5","4","2"
"2020/2/6","19","0"
"2020/2/7","9","0"
"2020/2/8","4","0"
"2020/2/9","10","0"
"2020/2/10","12","1"
"2020/2/11","4","2"
"2020/2/12","10","0"
"2020/2/13","16","4"
"2020/2/14","43","8"
"2020/2/15","86","12"
"2020/2/16","65","6"
"2020/2/17","113","6"
"2020/2/18","9","9"
"2020/2/19","71","9"
"2020/2/20","90","7"
"2020/2/21","85","14"
"2020/2/22","96","25"
"2020/2/23","39","11"
"2020/2/24","104","13"
"2020/2/25","44","11"
"2020/2/26","168","19"
"2020/2/27","151","24"
"2020/2/28","130","19"
"2020/2/29","178","9"
"2020/3/1","96","14"
"2020/3/2","71","17"
"2020/3/3","153","19"
"2020/3/4","3940","34"
"2020/3/5","699","32"
"2020/3/6","553","56"
"2020/3/7","147","43"
"2020/3/8","110","34"
"2020/3/9","1314","27"
"2020/3/10","424","61"
"2020/3/11","181","52"
"2020/3/12","1855","54"
"2020/3/13","859","40"
"2020/3/14","107","55"
"2020/3/15","42","33"
"2020/3/16","2083","16"
"2020/3/17","203","40"
"2020/3/18","0","45"
"2020/3/19","3490","40"
"2020/3/20","119","49"
"2020/3/21","132","36"
"2020/3/22","56","45"
"2020/3/23","3862","39"
"2020/3/24","0","72"
"2020/3/25","674","91"
"2020/3/26","1805","93"
"2020/3/27","1442","116"
"2020/3/28","296","196"
"2020/3/29","206","169"
"2020/3/30","3481","72"
"2020/3/31","1914","246"
"2020/4/1","0","266"
"2020/4/2","4685","279"
"2020/4/3","3305","342"
"2020/4/4","271","370"
"2020/4/5","218","355"
"2020/4/6","7876","243"
"2020/4/7","4544","367"
"2020/4/8","1383","516"
"2020/4/9","2841","580"
"2020/4/10","5389","640"
"2020/4/11","1644","663"
"2020/4/12","57","519"
"2020/4/13","9252","321"
"2020/4/14","8255","459"
"2020/4/15","693","551"
"2020/4/16","5325","583"
"2020/4/17","4149","567"
"2020/4/18","1004","576"
"2020/4/19","2953","385"
"2020/4/20","6816","325"
"2020/4/21","5542","388"
"2020/4/22","4415","421"
"2020/4/23","5349","424"
"2020/4/24","5187","394"
"2020/4/25","1250","322"
"2020/4/26","1136","217"
"2020/4/27","8545","172"
"2020/4/28","3244","279"
"2020/4/29","879","227"
"2020/4/30","8126","201"
"2020/5/1","6820","268"
"2020/5/2","880","298"
"2020/5/3","1012","203"
"2020/5/4","1332","177"
"2020/5/5","1569","120"
"2020/5/6","447","103"
"2020/5/7","13005","94"
"2020/5/8","10680","88"
"2020/5/9","2265","115"
"2020/5/10","3995","67"
"2020/5/11","5993","45"
"2020/5/12","288","77"
