"都道府県名","市区町村名","イベント名","開始日","終了日","説明","場所名称","住所","緯度","経度","アクセス方法","URL","備考"
"東京都","港区","蜷川実花展","2022-06-25","2022-09-04","写真家の枠を超えて映画、デザイン、ファッション等ジャンルにとらわれることなく多彩に活躍する蜷川実花による個展です。旧朝香宮邸の独特な建築を活かしたインスタレーションをご覧いただけます。本展のために撮りおろした新作の写真や映像作品を含め、各室ごとに趣向を凝らした演出が見どころです。「蜷川による装飾展」として当館全体の新たな見方を提示するものです。","東京都庭園美術館","港区白金台5-21-9","35.636741","139.719285","JR山手線・東急目黒線目黒駅から徒歩7分、都営三田線・東京メトロ南北線白金台駅から徒歩6分","https://www.teien-art-museum.ne.jp/",""
"東京都","港区","旅と移動展","2022-09-23","2022-11-27","庭園美術館の礎をつくった朝香宮夫妻の100年前のフランス旅行を手がかりに、1920-30年代の人々の旅心をかきたてた新たな視覚世界を、アール・デコ期のポスターや同時代の日本の観光ポスターを中心に紹介します。さらにコロナ禍により、リアルな旅が停止した2020年からの数年間を振り返り、旅という非日常体験が私たちにもたらす意味や可能性を、現代作家たちのアプローチを通して再考します。","東京都庭園美術館","港区白金台5-21-9","35.636741","139.719285","JR山手線・東急目黒線目黒駅から徒歩7分、都営三田線・東京メトロ南北線白金台駅から徒歩6分","https://www.teien-art-museum.ne.jp/",""
"東京都","港区","機能と装飾　モダニズムとモダニティ","2022-12-17","2023-03-05","1910-30年代におけるヨーロッパ及び日本の建築家やデザイナーたちの活動を通じて、従来のモダニズム史観を再考します。消費社会・大衆社会の時代においては、機能性や合理性が求められる一方で、「装飾」に大きな価値が与えられていました。本展では、流派を超えた当時の作家たちの関係性の環に着目し、機能主義と装飾といったありふれた二項対立に収まらない、ジャンルを横断した活動を俯瞰的に紹介します。","東京都庭園美術館","港区白金台5-21-9","35.636741","139.719285","JR山手線・東急目黒線目黒駅から徒歩7分、都営三田線・東京メトロ南北線白金台駅から徒歩6分","https://www.teien-art-museum.ne.jp/",""
"東京都","小金井市","特別展　江戸東京博物館コレクション展","2022-06-25","2023-02-12","2022年4月より改修休館に入る江戸東京博物館のコレクションを元に、江戸東京の歴史や生活文化を紹介する展覧会です。現在はそのコレクションの一部となっている、江戸東京たてもの園の前身にあたる旧武蔵野郷土館の資料も合わせ、東京の変遷をたどります。","江戸東京たてもの園","小金井市桜町3-7-1（都立小金井公園内）","35.71581609","139.5125809","JR中央線小金井駅北口⇒西武バス「小金井公園西口」徒歩5分・関東バス「江戸東京たてもの園前」下車徒歩3分、JR中央線東小金井駅北口⇒CoCoバス北東部循環「たてもの園入口」下車徒歩10分、西武新宿線花小金井駅南口⇒武蔵小金井駅行き「小金井公園西口」下車徒歩5分","https://www.tatemonoen.jp/",""
"東京都","小金井市","夜間特別開園　紅葉とたてもののライトアップ","2022-11-26","2022-11-27","紅葉が深まる時季に合わせ、特別に開園時間を延長して行う催しです。園内の色付く木々と歴史的建造物をほのかな光で美しく照らし出し、建物の中にはあたたかな灯りがともる、昼間とは趣の異なる夜のたてもの園を散策していただけます。大正時代のガス灯点灯、民家の囲炉裏や洋館の暖炉に火を入れる催し等、昔のあかりやぬくもりを体感いただけます。","江戸東京たてもの園","小金井市桜町3-7-1（都立小金井公園内）","35.71581609","139.5125809","JR中央線小金井駅北口⇒西武バス「小金井公園西口」徒歩5分・関東バス「江戸東京たてもの園前」下車徒歩3分、JR中央線東小金井駅北口⇒CoCoバス北東部循環「たてもの園入口」下車徒歩10分、西武新宿線花小金井駅南口⇒武蔵小金井駅行き「小金井公園西口」下車徒歩5分","https://www.tatemonoen.jp/",""
"東京都","小金井市","江戸の正月を楽しもう","2023-01-02","2022-01-03","正月2日、3日に入園無料の特別開園を行い、皆様をお迎えします。園内の復元建造物にしめ飾りや門松を立て、獅子舞や太神楽等の新年にふさわしい伝統芸能をご覧いただけます。また、江戸時代より庶民に親しまれていた縁起物の「宝船絵」（印刷物）を、先着順で配布します。","江戸東京たてもの園","小金井市桜町3-7-1（都立小金井公園内）","35.71581609","139.5125809","JR中央線小金井駅北口⇒西武バス「小金井公園西口」徒歩5分・関東バス「江戸東京たてもの園前」下車徒歩3分、JR中央線東小金井駅北口⇒CoCoバス北東部循環「たてもの園入口」下車徒歩10分、西武新宿線花小金井駅南口⇒武蔵小金井駅行き「小金井公園西口」下車徒歩5分","https://www.tatemonoen.jp/",""
"東京都","小金井市","成人の日はたてもの園へ","2023-01-09","2023-01-09","ハレの日の記念に、歴史ある建造物が建ち並ぶたてもの園で新成人をお祝いする催しです。人力車での園内めぐりの他、復元建造物である写真館内のスタジオでは、お手持ちのカメラで記念撮影ができます。新成人は無料でご入園いただけます。","江戸東京たてもの園","小金井市桜町3-7-1（都立小金井公園内）","35.71581609","139.5125809","JR中央線小金井駅北口⇒西武バス「小金井公園西口」徒歩5分・関東バス「江戸東京たてもの園前」下車徒歩3分、JR中央線東小金井駅北口⇒CoCoバス北東部循環「たてもの園入口」下車徒歩10分、西武新宿線花小金井駅南口⇒武蔵小金井駅行き「小金井公園西口」下車徒歩5分","https://www.tatemonoen.jp/",""
"東京都","小金井市","特別展　日本のタイル100年","2023-03-11","2023-08-20","幕末から明治期にかけ、西洋建築が日本で普及をはじめる際、内外装の素材となる「タイル」も伝来しました。当初は「装飾煉瓦」等様々な名称で呼ばれていましたが、普及が進むなかで不便が生じ、1922年(大正11年）4月に開かれた全国タイル業者大会で名称が「タイル」に統一されました。それから100年を記念して、日本におけるタイルの歴史とそれを通じて見える暮らしや建築の変化を紹介する展覧会です。","江戸東京たてもの園","小金井市桜町3-7-1（都立小金井公園内）","35.71581609","139.5125809","JR中央線小金井駅北口⇒西武バス「小金井公園西口」徒歩5分・関東バス「江戸東京たてもの園前」下車徒歩3分、JR中央線東小金井駅北口⇒CoCoバス北東部循環「たてもの園入口」下車徒歩10分、西武新宿線花小金井駅南口⇒武蔵小金井駅行き「小金井公園西口」下車徒歩5分","https://www.tatemonoen.jp/",""
"東京都","小金井市","たてもの園フェスティバル","2023-03-27","2023-03-28","小金井公園にある1700本の桜のつぼみがほころぶこの時期、子供から大人まで一緒に楽しめる催しを行います。体を使って建物の形を表す「けんちく体操」をはじめ、伝統工芸の実演や職人の技を体験する催し、アーティストによるパフォーマンス等様々な事業を行います。開園記念日の3月28日は無料でご入園いただけます。","江戸東京たてもの園","小金井市桜町3-7-1（都立小金井公園内）","35.71581609","139.5125809","JR中央線小金井駅北口⇒西武バス「小金井公園西口」徒歩5分・関東バス「江戸東京たてもの園前」下車徒歩3分、JR中央線東小金井駅北口⇒CoCoバス北東部循環「たてもの園入口」下車徒歩10分、西武新宿線花小金井駅南口⇒武蔵小金井駅行き「小金井公園西口」下車徒歩5分","https://www.tatemonoen.jp/",""
"東京都","目黒区","TOPコレクション　前衛写真","2022-05-20","2022-08-21","日本の前衛写真はシュルレアリスムや抽象美術の影響を受け1930年後半から1940年代までの間に全国各地のアマチュア団体を中心に勃興しました。短期間の潮流であったことから、その活動は長らく検証がなされていませんでしたが、近年各地の美術館により研究が進められてきました。本展では、同時代に流行した前衛絵画との関係性を含め、日本の前衛写真が戦後の主観主義やシュルレアリスム運動とどのように関わっていったのかを詳らかにしていきます。","東京都写真美術館","目黒区三田1-13-3 恵比寿ガーデンプレイス内","35.641780585413414","139.7132839","JR恵比寿から駅徒歩7分、東京メトロ日比谷線恵比寿駅から徒歩10分","https://topmuseum.jp/",""
