"都道府県名","市区町村名","名称","文化財分類","住所","緯度","経度","所有者等","文化財指定日","備考"
"東京都","青梅市","青梅新町の大井戸","東京都指定史跡","青梅市新町二丁目","35.7889655","139.2996658","青梅市教育委員会","1993/3/22","指定範囲すべてが周知の埋蔵文化財包蔵地となっています。"
"東京都","東久留米市","新山遺跡","都指定史跡","東久留米市下里三丁目695他（下里中学校内）","35.75212132","139.4997134","東久留米市教育委員会","1978/3/16",""
"東京都","町田市","町田市田端環状積石遺構","都指定史跡","町田市小山町3112-2他","35.60105808","139.3636223","町田市","昭和46年3月29日史跡指定　平成19年3月15日追加指定　",""
"東京都","世田谷区","野毛大塚古墳","東京都指定史跡","世田谷区野毛一丁目21，25","35.60500601","139.6432139","世田谷区","大正11年9月25日標識　昭和27年4月1日史跡指定　昭和30年3月28日旧跡指定　昭和39年11月21日名称変更　昭和50年2月6日史跡指定（種別変更）","指定範囲すべてが周知の埋蔵文化財包蔵地となっています。"
"東京都","練馬区","石神井城跡","都指定史跡","練馬区石神井台一丁目1900-2他","35.73711929","139.5971356","東京都（建設局）","大正8年10月標識　昭和27年4月1日史跡指定　昭和30年3月28日旧跡指定　平成23年6月9日史跡指定（種別変更）",""
"東京都","狛江市","兜塚古墳","東京都指定史跡","狛江市中和泉三丁目23","35.63413272","139.5698828","狛江市","1975/2/6","指定範囲すべてが周知の埋蔵文化財包蔵地となっています。"
"東京都","葛飾区","葛西城跡","都指定史跡","葛飾区青戸七丁目21-7他","35.75512679","139.8550088","葛飾区","1998/3/13","指定範囲すべてが周知の埋蔵文化財包蔵地となっています。"
"東京都","日野市","落川遺跡","都指定史跡","日野市落川819","35.65382934","139.4373649","東京都（都市整備局）","1987/2/24",""
"東京都","台東区","天王寺五重塔跡","東京都指定史跡","台東区谷中七丁目","35.72526856","139.7708352","東京都（建設局）","昭和54年3月31日旧跡指定平成4年3月30日史跡指定（種別変更）","指定範囲すべてが周知の埋蔵文化財包蔵地となっています。"
"東京都","町田市","西谷戸横穴墓群","都指定史跡","町田市三輪緑山一丁目","35.57365307","139.4934721","町田市","1992/3/30",""
